# Run complete. Total time: 01:21:04

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

NOTE: Current JVM experimentally supports Compiler Blackholes, and they are in use. Please exercise
extra caution when trusting the results, look into the generated code to check the benchmark still
works, and factor in a small probability of new VM bugs. Additionally, while comparisons between
different JVMs are already problematic, the performance difference caused by different Blackhole
modes can be very significant. Please make sure you use the consistent Blackhole mode for comparisons.

Benchmark                           (builder)   (size)  Mode  Cnt       Score      Error  Units
ArraysSort.Double.testSort             RANDOM      800  avgt    4      18.008 ±    0.303  us/op
ArraysSort.Double.testSort             RANDOM     7000  avgt    4     285.003 ±    2.498  us/op
ArraysSort.Double.testSort             RANDOM    50000  avgt    4    2473.652 ±   24.090  us/op
ArraysSort.Double.testSort             RANDOM   300000  avgt    4   14958.990 ±  166.534  us/op
ArraysSort.Double.testSort             RANDOM  2000000  avgt    4  111024.605 ± 1239.955  us/op
ArraysSort.Double.testSort           REPEATED      800  avgt    4       4.611 ±    0.310  us/op
ArraysSort.Double.testSort           REPEATED     7000  avgt    4     117.515 ±    2.073  us/op
ArraysSort.Double.testSort           REPEATED    50000  avgt    4    1043.936 ±    8.675  us/op
ArraysSort.Double.testSort           REPEATED   300000  avgt    4    6354.804 ±   71.398  us/op
ArraysSort.Double.testSort           REPEATED  2000000  avgt    4   42158.930 ±  316.799  us/op
ArraysSort.Double.testSort            STAGGER      800  avgt    4       5.912 ±    0.020  us/op
ArraysSort.Double.testSort            STAGGER     7000  avgt    4      52.716 ±    0.417  us/op
ArraysSort.Double.testSort            STAGGER    50000  avgt    4     360.995 ±    1.325  us/op
ArraysSort.Double.testSort            STAGGER   300000  avgt    4    2313.531 ±    6.802  us/op
ArraysSort.Double.testSort            STAGGER  2000000  avgt    4   15989.578 ±  145.671  us/op
ArraysSort.Double.testSort            SHUFFLE      800  avgt    4      12.772 ±    1.317  us/op
ArraysSort.Double.testSort            SHUFFLE     7000  avgt    4     132.319 ±    0.796  us/op
ArraysSort.Double.testSort            SHUFFLE    50000  avgt    4    1491.087 ±   22.405  us/op
ArraysSort.Double.testSort            SHUFFLE   300000  avgt    4    8800.617 ±  180.829  us/op
ArraysSort.Double.testSort            SHUFFLE  2000000  avgt    4   94531.333 ±  960.812  us/op
ArraysSort.Float.testParallelSort      RANDOM      800  avgt    4      17.711 ±    0.519  us/op
ArraysSort.Float.testParallelSort      RANDOM     7000  avgt    4     151.685 ±    1.315  us/op
ArraysSort.Float.testParallelSort      RANDOM    50000  avgt    4    1191.372 ±   24.445  us/op
ArraysSort.Float.testParallelSort      RANDOM   300000  avgt    4    6929.825 ±   38.064  us/op
ArraysSort.Float.testParallelSort      RANDOM  2000000  avgt    4   49257.324 ±  384.614  us/op
ArraysSort.Float.testParallelSort    REPEATED      800  avgt    4       4.618 ±    0.163  us/op
ArraysSort.Float.testParallelSort    REPEATED     7000  avgt    4     148.384 ±    1.364  us/op
ArraysSort.Float.testParallelSort    REPEATED    50000  avgt    4    1081.239 ±   86.620  us/op
ArraysSort.Float.testParallelSort    REPEATED   300000  avgt    4    6592.403 ±   52.723  us/op
ArraysSort.Float.testParallelSort    REPEATED  2000000  avgt    4   43484.403 ±  189.576  us/op
ArraysSort.Float.testParallelSort     STAGGER      800  avgt    4       5.697 ±    0.066  us/op
ArraysSort.Float.testParallelSort     STAGGER     7000  avgt    4      45.779 ±    2.031  us/op
ArraysSort.Float.testParallelSort     STAGGER    50000  avgt    4     239.949 ±    8.395  us/op
ArraysSort.Float.testParallelSort     STAGGER   300000  avgt    4    1199.008 ±   15.559  us/op
ArraysSort.Float.testParallelSort     STAGGER  2000000  avgt    4    7747.569 ±  158.118  us/op
ArraysSort.Float.testParallelSort     SHUFFLE      800  avgt    4      12.650 ±    0.310  us/op
ArraysSort.Float.testParallelSort     SHUFFLE     7000  avgt    4      82.364 ±    4.091  us/op
ArraysSort.Float.testParallelSort     SHUFFLE    50000  avgt    4     756.914 ±   19.232  us/op
ArraysSort.Float.testParallelSort     SHUFFLE   300000  avgt    4    5705.242 ±  100.642  us/op
ArraysSort.Float.testParallelSort     SHUFFLE  2000000  avgt    4   26891.507 ±  461.530  us/op
ArraysSort.Float.testSort              RANDOM      800  avgt    4      17.732 ±    0.172  us/op
ArraysSort.Float.testSort              RANDOM     7000  avgt    4     113.426 ±    1.194  us/op
ArraysSort.Float.testSort              RANDOM    50000  avgt    4    1204.580 ±    4.338  us/op
ArraysSort.Float.testSort              RANDOM   300000  avgt    4    7632.101 ±   62.514  us/op
ArraysSort.Float.testSort              RANDOM  2000000  avgt    4   54339.603 ±  203.675  us/op
ArraysSort.Float.testSort            REPEATED      800  avgt    4       4.597 ±    0.291  us/op
ArraysSort.Float.testSort            REPEATED     7000  avgt    4     127.623 ±    1.915  us/op
ArraysSort.Float.testSort            REPEATED    50000  avgt    4    1035.132 ±   74.341  us/op
ArraysSort.Float.testSort            REPEATED   300000  avgt    4    6401.262 ±   14.774  us/op
ArraysSort.Float.testSort            REPEATED  2000000  avgt    4   41611.854 ±  264.977  us/op
ArraysSort.Float.testSort             STAGGER      800  avgt    4       5.547 ±    0.204  us/op
ArraysSort.Float.testSort             STAGGER     7000  avgt    4      50.295 ±    0.612  us/op
ArraysSort.Float.testSort             STAGGER    50000  avgt    4     338.530 ±    1.793  us/op
ArraysSort.Float.testSort             STAGGER   300000  avgt    4    2105.846 ±    0.781  us/op
ArraysSort.Float.testSort             STAGGER  2000000  avgt    4   13790.034 ±  113.812  us/op
ArraysSort.Float.testSort             SHUFFLE      800  avgt    4      12.410 ±    0.112  us/op
ArraysSort.Float.testSort             SHUFFLE     7000  avgt    4     112.215 ±    1.056  us/op
ArraysSort.Float.testSort             SHUFFLE    50000  avgt    4    1136.589 ±   26.167  us/op
ArraysSort.Float.testSort             SHUFFLE   300000  avgt    4    6596.166 ±  372.623  us/op
ArraysSort.Float.testSort             SHUFFLE  2000000  avgt    4   56309.613 ± 1134.019  us/op
ArraysSort.Int.testParallelSort        RANDOM      800  avgt    4      15.539 ±    0.645  us/op
ArraysSort.Int.testParallelSort        RANDOM     7000  avgt    4     136.945 ±    1.615  us/op
ArraysSort.Int.testParallelSort        RANDOM    50000  avgt    4    1180.244 ±   20.813  us/op
ArraysSort.Int.testParallelSort        RANDOM   300000  avgt    4    6631.290 ±   48.117  us/op
ArraysSort.Int.testParallelSort        RANDOM  2000000  avgt    4   49104.092 ±  314.833  us/op
ArraysSort.Int.testParallelSort      REPEATED      800  avgt    4       3.365 ±    0.226  us/op
ArraysSort.Int.testParallelSort      REPEATED     7000  avgt    4      82.577 ±    1.481  us/op
ArraysSort.Int.testParallelSort      REPEATED    50000  avgt    4     702.298 ±    7.629  us/op
ArraysSort.Int.testParallelSort      REPEATED   300000  avgt    4    4263.907 ±   44.534  us/op
ArraysSort.Int.testParallelSort      REPEATED  2000000  avgt    4   29188.630 ±  262.588  us/op
ArraysSort.Int.testParallelSort       STAGGER      800  avgt    4       4.575 ±    0.054  us/op
ArraysSort.Int.testParallelSort       STAGGER     7000  avgt    4      34.936 ±    0.336  us/op
ArraysSort.Int.testParallelSort       STAGGER    50000  avgt    4     165.896 ±    1.148  us/op
ArraysSort.Int.testParallelSort       STAGGER   300000  avgt    4     685.885 ±   25.122  us/op
ArraysSort.Int.testParallelSort       STAGGER  2000000  avgt    4    4626.359 ±  116.152  us/op
ArraysSort.Int.testParallelSort       SHUFFLE      800  avgt    4       9.891 ±    0.139  us/op
ArraysSort.Int.testParallelSort       SHUFFLE     7000  avgt    4      66.389 ±   12.841  us/op
ArraysSort.Int.testParallelSort       SHUFFLE    50000  avgt    4     659.900 ±   25.800  us/op
ArraysSort.Int.testParallelSort       SHUFFLE   300000  avgt    4    6104.708 ±   74.856  us/op
ArraysSort.Int.testParallelSort       SHUFFLE  2000000  avgt    4   26225.665 ±  160.690  us/op
ArraysSort.Int.testSort                RANDOM      800  avgt    4      15.999 ±    0.398  us/op
ArraysSort.Int.testSort                RANDOM     7000  avgt    4     103.210 ±    1.284  us/op
ArraysSort.Int.testSort                RANDOM    50000  avgt    4    1440.373 ±    6.369  us/op
ArraysSort.Int.testSort                RANDOM   300000  avgt    4    9444.075 ±  161.045  us/op
ArraysSort.Int.testSort                RANDOM  2000000  avgt    4   68476.426 ±  257.092  us/op
ArraysSort.Int.testSort              REPEATED      800  avgt    4       3.328 ±    0.269  us/op
ArraysSort.Int.testSort              REPEATED     7000  avgt    4      70.166 ±    7.899  us/op
ArraysSort.Int.testSort              REPEATED    50000  avgt    4     667.206 ±    3.336  us/op
ArraysSort.Int.testSort              REPEATED   300000  avgt    4    4285.055 ±   29.464  us/op
ArraysSort.Int.testSort              REPEATED  2000000  avgt    4   28217.668 ±  333.867  us/op
ArraysSort.Int.testSort               STAGGER      800  avgt    4       4.549 ±    0.019  us/op
ArraysSort.Int.testSort               STAGGER     7000  avgt    4      33.930 ±    0.352  us/op
ArraysSort.Int.testSort               STAGGER    50000  avgt    4     247.210 ±    1.330  us/op
ArraysSort.Int.testSort               STAGGER   300000  avgt    4    1574.766 ±    6.887  us/op
ArraysSort.Int.testSort               STAGGER  2000000  avgt    4   10022.352 ±   46.383  us/op
ArraysSort.Int.testSort               SHUFFLE      800  avgt    4       9.875 ±    0.178  us/op
ArraysSort.Int.testSort               SHUFFLE     7000  avgt    4      98.859 ±   16.905  us/op
ArraysSort.Int.testSort               SHUFFLE    50000  avgt    4    1319.701 ±   68.997  us/op
ArraysSort.Int.testSort               SHUFFLE   300000  avgt    4    7462.781 ±  337.056  us/op
ArraysSort.Int.testSort               SHUFFLE  2000000  avgt    4   80111.518 ± 2267.051  us/op
ArraysSort.Long.testParallelSort       RANDOM      800  avgt    4      16.305 ±    0.380  us/op
ArraysSort.Long.testParallelSort       RANDOM     7000  avgt    4     208.675 ±    2.795  us/op
ArraysSort.Long.testParallelSort       RANDOM    50000  avgt    4    1708.907 ±   17.068  us/op
ArraysSort.Long.testParallelSort       RANDOM   300000  avgt    4    9299.961 ±   32.815  us/op
ArraysSort.Long.testParallelSort       RANDOM  2000000  avgt    4   75164.859 ±  872.528  us/op
ArraysSort.Long.testParallelSort     REPEATED      800  avgt    4       3.241 ±    0.198  us/op
ArraysSort.Long.testParallelSort     REPEATED     7000  avgt    4      94.254 ±    0.841  us/op
ArraysSort.Long.testParallelSort     REPEATED    50000  avgt    4     727.982 ±    7.504  us/op
ArraysSort.Long.testParallelSort     REPEATED   300000  avgt    4    4524.503 ±   56.733  us/op
ArraysSort.Long.testParallelSort     REPEATED  2000000  avgt    4   30877.963 ±  178.527  us/op
ArraysSort.Long.testParallelSort      STAGGER      800  avgt    4       4.749 ±    0.088  us/op
ArraysSort.Long.testParallelSort      STAGGER     7000  avgt    4      41.200 ±    0.389  us/op
ArraysSort.Long.testParallelSort      STAGGER    50000  avgt    4     189.148 ±    4.375  us/op
ArraysSort.Long.testParallelSort      STAGGER   300000  avgt    4     969.227 ±   16.336  us/op
ArraysSort.Long.testParallelSort      STAGGER  2000000  avgt    4    6763.169 ±  106.198  us/op
ArraysSort.Long.testParallelSort      SHUFFLE      800  avgt    4      10.130 ±    0.389  us/op
ArraysSort.Long.testParallelSort      SHUFFLE     7000  avgt    4      80.998 ±    1.571  us/op
ArraysSort.Long.testParallelSort      SHUFFLE    50000  avgt    4     954.711 ±    7.052  us/op
ArraysSort.Long.testParallelSort      SHUFFLE   300000  avgt    4    7470.427 ±  176.556  us/op
ArraysSort.Long.testParallelSort      SHUFFLE  2000000  avgt    4   30429.699 ±  795.453  us/op
ArraysSort.Long.testSort               RANDOM      800  avgt    4      16.015 ±    0.508  us/op
ArraysSort.Long.testSort               RANDOM     7000  avgt    4     274.521 ±    0.703  us/op
ArraysSort.Long.testSort               RANDOM    50000  avgt    4    2419.752 ±   19.473  us/op
ArraysSort.Long.testSort               RANDOM   300000  avgt    4   14578.842 ±  151.198  us/op
ArraysSort.Long.testSort               RANDOM  2000000  avgt    4  107589.267 ±  717.433  us/op
ArraysSort.Long.testSort             REPEATED      800  avgt    4       3.398 ±    0.268  us/op
ArraysSort.Long.testSort             REPEATED     7000  avgt    4      78.610 ±    2.807  us/op
ArraysSort.Long.testSort             REPEATED    50000  avgt    4     674.340 ±    5.429  us/op
ArraysSort.Long.testSort             REPEATED   300000  avgt    4    4373.096 ±   47.281  us/op
ArraysSort.Long.testSort             REPEATED  2000000  avgt    4   29389.980 ±  362.433  us/op
ArraysSort.Long.testSort              STAGGER      800  avgt    4       4.726 ±    0.039  us/op
ArraysSort.Long.testSort              STAGGER     7000  avgt    4      42.282 ±    0.306  us/op
ArraysSort.Long.testSort              STAGGER    50000  avgt    4     260.842 ±    1.465  us/op
ArraysSort.Long.testSort              STAGGER   300000  avgt    4    1715.570 ±   10.409  us/op
ArraysSort.Long.testSort              STAGGER  2000000  avgt    4   12138.112 ±  141.206  us/op
ArraysSort.Long.testSort              SHUFFLE      800  avgt    4      10.408 ±    0.310  us/op
ArraysSort.Long.testSort              SHUFFLE     7000  avgt    4     110.692 ±    2.406  us/op
ArraysSort.Long.testSort              SHUFFLE    50000  avgt    4    1789.430 ±    5.586  us/op
ArraysSort.Long.testSort              SHUFFLE   300000  avgt    4    8300.873 ±  153.980  us/op
ArraysSort.Long.testSort              SHUFFLE  2000000  avgt    4   91467.733 ± 2015.582  us/op
ArraysSort.Short.testParallelSort      RANDOM      800  avgt    4      15.455 ±    0.278  us/op
ArraysSort.Short.testParallelSort      RANDOM     7000  avgt    4     184.698 ±    0.582  us/op
ArraysSort.Short.testParallelSort      RANDOM    50000  avgt    4     850.353 ±   22.897  us/op
ArraysSort.Short.testParallelSort      RANDOM   300000  avgt    4    1853.214 ±  332.327  us/op
ArraysSort.Short.testParallelSort      RANDOM  2000000  avgt    4    5310.637 ±  392.147  us/op
ArraysSort.Short.testParallelSort    REPEATED      800  avgt    4       2.666 ±    0.101  us/op
ArraysSort.Short.testParallelSort    REPEATED     7000  avgt    4      57.587 ±    0.588  us/op
ArraysSort.Short.testParallelSort    REPEATED    50000  avgt    4     106.827 ±    2.121  us/op
ArraysSort.Short.testParallelSort    REPEATED   300000  avgt    4     479.270 ±  311.596  us/op
ArraysSort.Short.testParallelSort    REPEATED  2000000  avgt    4    2605.993 ±  241.233  us/op
ArraysSort.Short.testParallelSort     STAGGER      800  avgt    4      12.333 ±    0.374  us/op
ArraysSort.Short.testParallelSort     STAGGER     7000  avgt    4      58.521 ±   14.604  us/op
ArraysSort.Short.testParallelSort     STAGGER    50000  avgt    4     180.597 ±    2.225  us/op
ArraysSort.Short.testParallelSort     STAGGER   300000  avgt    4     679.866 ±   61.994  us/op
ArraysSort.Short.testParallelSort     STAGGER  2000000  avgt    4    2691.065 ±   12.604  us/op
ArraysSort.Short.testParallelSort     SHUFFLE      800  avgt    4       8.722 ±    0.227  us/op
ArraysSort.Short.testParallelSort     SHUFFLE     7000  avgt    4      59.693 ±    0.812  us/op
ArraysSort.Short.testParallelSort     SHUFFLE    50000  avgt    4     227.888 ±    2.519  us/op
ArraysSort.Short.testParallelSort     SHUFFLE   300000  avgt    4     712.169 ±  303.310  us/op
ArraysSort.Short.testParallelSort     SHUFFLE  2000000  avgt    4    2496.604 ±  231.256  us/op
ArraysSort.Short.testSort              RANDOM      800  avgt    4      17.303 ±   10.825  us/op
ArraysSort.Short.testSort              RANDOM     7000  avgt    4     187.910 ±    0.954  us/op
ArraysSort.Short.testSort              RANDOM    50000  avgt    4     843.923 ±    8.027  us/op
ArraysSort.Short.testSort              RANDOM   300000  avgt    4    1872.960 ±  341.254  us/op
ArraysSort.Short.testSort              RANDOM  2000000  avgt    4    5355.366 ±  379.164  us/op
ArraysSort.Short.testSort            REPEATED      800  avgt    4       2.669 ±    0.091  us/op
ArraysSort.Short.testSort            REPEATED     7000  avgt    4      57.558 ±    0.745  us/op
ArraysSort.Short.testSort            REPEATED    50000  avgt    4     107.115 ±    1.637  us/op
ArraysSort.Short.testSort            REPEATED   300000  avgt    4     494.149 ±  347.560  us/op
ArraysSort.Short.testSort            REPEATED  2000000  avgt    4    2607.718 ±  331.044  us/op
ArraysSort.Short.testSort             STAGGER      800  avgt    4      12.354 ±    0.115  us/op
ArraysSort.Short.testSort             STAGGER     7000  avgt    4      59.980 ±   21.831  us/op
ArraysSort.Short.testSort             STAGGER    50000  avgt    4     180.541 ±    1.590  us/op
ArraysSort.Short.testSort             STAGGER   300000  avgt    4     678.777 ±   59.536  us/op
ArraysSort.Short.testSort             STAGGER  2000000  avgt    4    2685.150 ±    5.078  us/op
ArraysSort.Short.testSort             SHUFFLE      800  avgt    4       8.736 ±    0.197  us/op
ArraysSort.Short.testSort             SHUFFLE     7000  avgt    4      59.739 ±    1.225  us/op
ArraysSort.Short.testSort             SHUFFLE    50000  avgt    4     228.187 ±    4.442  us/op
ArraysSort.Short.testSort             SHUFFLE   300000  avgt    4     711.996 ±  307.716  us/op
ArraysSort.Short.testSort             SHUFFLE  2000000  avgt    4    2502.203 ±  166.865  us/op

