# Run complete. Total time: 01:21:06

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

NOTE: Current JVM experimentally supports Compiler Blackholes, and they are in use. Please exercise
extra caution when trusting the results, look into the generated code to check the benchmark still
works, and factor in a small probability of new VM bugs. Additionally, while comparisons between
different JVMs are already problematic, the performance difference caused by different Blackhole
modes can be very significant. Please make sure you use the consistent Blackhole mode for comparisons.

Benchmark                           (builder)   (size)  Mode  Cnt       Score      Error  Units
ArraysSort.Byte.testSort              SHUFFLE      800  avgt    4       3.102 ±    0.229  us/op
ArraysSort.Byte.testSort              SHUFFLE     7000  avgt    4       9.496 ±   10.539  us/op
ArraysSort.Byte.testSort              SHUFFLE    50000  avgt    4      58.440 ±    5.336  us/op
ArraysSort.Byte.testSort              SHUFFLE   300000  avgt    4     307.015 ±    4.253  us/op
ArraysSort.Byte.testSort              SHUFFLE  2000000  avgt    4    1756.482 ±   13.774  us/op
ArraysSort.Char.testParallelSort       RANDOM      800  avgt    4      14.689 ±    0.576  us/op
ArraysSort.Char.testParallelSort       RANDOM     7000  avgt    4     179.950 ±    1.316  us/op
ArraysSort.Char.testParallelSort       RANDOM    50000  avgt    4     823.761 ±   68.325  us/op
ArraysSort.Char.testParallelSort       RANDOM   300000  avgt    4    1978.258 ±  391.662  us/op
ArraysSort.Char.testParallelSort       RANDOM  2000000  avgt    4    5416.480 ±  246.235  us/op
ArraysSort.Char.testParallelSort     REPEATED      800  avgt    4       3.350 ±    0.080  us/op
ArraysSort.Char.testParallelSort     REPEATED     7000  avgt    4      50.118 ±    0.634  us/op
ArraysSort.Char.testParallelSort     REPEATED    50000  avgt    4     102.354 ±    3.307  us/op
ArraysSort.Char.testParallelSort     REPEATED   300000  avgt    4     656.187 ±  305.445  us/op
ArraysSort.Char.testParallelSort     REPEATED  2000000  avgt    4    2610.071 ±  221.602  us/op
ArraysSort.Char.testParallelSort      STAGGER      800  avgt    4      13.147 ±    0.229  us/op
ArraysSort.Char.testParallelSort      STAGGER     7000  avgt    4      71.325 ±   17.460  us/op
ArraysSort.Char.testParallelSort      STAGGER    50000  avgt    4     207.225 ±    2.084  us/op
ArraysSort.Char.testParallelSort      STAGGER   300000  avgt    4     712.314 ±   24.476  us/op
ArraysSort.Char.testParallelSort      STAGGER  2000000  avgt    4    2688.087 ±   18.970  us/op
ArraysSort.Char.testParallelSort      SHUFFLE      800  avgt    4       9.647 ±    0.087  us/op
ArraysSort.Char.testParallelSort      SHUFFLE     7000  avgt    4      74.025 ±    1.733  us/op
ArraysSort.Char.testParallelSort      SHUFFLE    50000  avgt    4     224.370 ±   64.382  us/op
ArraysSort.Char.testParallelSort      SHUFFLE   300000  avgt    4     740.276 ±  303.415  us/op
ArraysSort.Char.testParallelSort      SHUFFLE  2000000  avgt    4    2512.636 ±  249.406  us/op
ArraysSort.Char.testSort               RANDOM      800  avgt    4      14.586 ±    0.357  us/op
ArraysSort.Char.testSort               RANDOM     7000  avgt    4     180.503 ±    1.089  us/op
ArraysSort.Char.testSort               RANDOM    50000  avgt    4     824.773 ±   68.072  us/op
ArraysSort.Char.testSort               RANDOM   300000  avgt    4    1996.727 ±  362.439  us/op
ArraysSort.Char.testSort               RANDOM  2000000  avgt    4    5397.061 ±  488.526  us/op
ArraysSort.Char.testSort             REPEATED      800  avgt    4       3.318 ±    0.154  us/op
ArraysSort.Char.testSort             REPEATED     7000  avgt    4      61.631 ±   45.136  us/op
ArraysSort.Char.testSort             REPEATED    50000  avgt    4     100.618 ±    2.597  us/op
ArraysSort.Char.testSort             REPEATED   300000  avgt    4     656.462 ±  321.063  us/op
ArraysSort.Char.testSort             REPEATED  2000000  avgt    4    2618.031 ±  238.465  us/op
ArraysSort.Char.testSort              STAGGER      800  avgt    4      13.226 ±    0.294  us/op
ArraysSort.Char.testSort              STAGGER     7000  avgt    4      70.602 ±   22.932  us/op
ArraysSort.Char.testSort              STAGGER    50000  avgt    4     206.933 ±    0.785  us/op
ArraysSort.Char.testSort              STAGGER   300000  avgt    4     715.423 ±   26.911  us/op
ArraysSort.Char.testSort              STAGGER  2000000  avgt    4    2691.277 ±   21.836  us/op
ArraysSort.Char.testSort              SHUFFLE      800  avgt    4       9.664 ±    0.123  us/op
ArraysSort.Char.testSort              SHUFFLE     7000  avgt    4      75.749 ±    1.336  us/op
ArraysSort.Char.testSort              SHUFFLE    50000  avgt    4     223.119 ±   62.131  us/op
ArraysSort.Char.testSort              SHUFFLE   300000  avgt    4     744.981 ±  319.098  us/op
ArraysSort.Char.testSort              SHUFFLE  2000000  avgt    4    2505.235 ±  268.845  us/op
ArraysSort.Double.testParallelSort     RANDOM      800  avgt    4      17.786 ±    0.227  us/op
ArraysSort.Double.testParallelSort     RANDOM     7000  avgt    4     525.638 ±   15.661  us/op
ArraysSort.Double.testParallelSort     RANDOM    50000  avgt    4    1920.984 ±   13.044  us/op
ArraysSort.Double.testParallelSort     RANDOM   300000  avgt    4   11208.957 ±  392.125  us/op
ArraysSort.Double.testParallelSort     RANDOM  2000000  avgt    4   80493.626 ± 1607.531  us/op
ArraysSort.Double.testParallelSort   REPEATED      800  avgt    4       5.240 ±    0.101  us/op
ArraysSort.Double.testParallelSort   REPEATED     7000  avgt    4     158.205 ±    0.421  us/op
ArraysSort.Double.testParallelSort   REPEATED    50000  avgt    4    1053.123 ±  165.451  us/op
ArraysSort.Double.testParallelSort   REPEATED   300000  avgt    4    6415.271 ±   17.254  us/op
ArraysSort.Double.testParallelSort   REPEATED  2000000  avgt    4   41649.972 ±  258.029  us/op
ArraysSort.Double.testParallelSort    STAGGER      800  avgt    4       5.952 ±    0.067  us/op
ArraysSort.Double.testParallelSort    STAGGER     7000  avgt    4      51.056 ±    1.018  us/op
ArraysSort.Double.testParallelSort    STAGGER    50000  avgt    4     324.918 ±    2.862  us/op
ArraysSort.Double.testParallelSort    STAGGER   300000  avgt    4    1740.566 ±   17.025  us/op
ArraysSort.Double.testParallelSort    STAGGER  2000000  avgt    4   12886.974 ±  123.856  us/op
ArraysSort.Double.testParallelSort    SHUFFLE      800  avgt    4      12.128 ±    0.103  us/op
ArraysSort.Double.testParallelSort    SHUFFLE     7000  avgt    4     246.568 ±   30.682  us/op
ArraysSort.Double.testParallelSort    SHUFFLE    50000  avgt    4     859.752 ±   22.888  us/op
ArraysSort.Double.testParallelSort    SHUFFLE   300000  avgt    4    4889.386 ±   62.041  us/op
ArraysSort.Double.testParallelSort    SHUFFLE  2000000  avgt    4   37135.892 ±  604.069  us/op
ArraysSort.Double.testSort             RANDOM      800  avgt    4      17.724 ±    0.249  us/op
ArraysSort.Double.testSort             RANDOM     7000  avgt    4     600.381 ±    0.142  us/op
ArraysSort.Double.testSort             RANDOM    50000  avgt    4    5026.336 ±   61.506  us/op
ArraysSort.Double.testSort             RANDOM   300000  avgt    4   33816.738 ±   30.144  us/op
ArraysSort.Double.testSort             RANDOM  2000000  avgt    4  266179.825 ± 3540.354  us/op
ArraysSort.Double.testSort           REPEATED      800  avgt    4       5.273 ±    0.094  us/op
ArraysSort.Double.testSort           REPEATED     7000  avgt    4     166.293 ±    2.004  us/op
ArraysSort.Double.testSort           REPEATED    50000  avgt    4    1106.811 ±  103.619  us/op
ArraysSort.Double.testSort           REPEATED   300000  avgt    4    6487.977 ±   83.211  us/op
ArraysSort.Double.testSort           REPEATED  2000000  avgt    4   42927.720 ±  475.216  us/op
ArraysSort.Double.testSort            STAGGER      800  avgt    4       6.005 ±    0.026  us/op
ArraysSort.Double.testSort            STAGGER     7000  avgt    4      52.900 ±    0.539  us/op
ArraysSort.Double.testSort            STAGGER    50000  avgt    4     366.010 ±    1.224  us/op
ArraysSort.Double.testSort            STAGGER   300000  avgt    4    2169.235 ±   26.087  us/op
ArraysSort.Double.testSort            STAGGER  2000000  avgt    4   16313.964 ±  213.165  us/op
ArraysSort.Double.testSort            SHUFFLE      800  avgt    4      12.145 ±    0.160  us/op
ArraysSort.Double.testSort            SHUFFLE     7000  avgt    4     259.129 ±    1.450  us/op
ArraysSort.Double.testSort            SHUFFLE    50000  avgt    4    2057.573 ±   14.859  us/op
ArraysSort.Double.testSort            SHUFFLE   300000  avgt    4   13122.123 ±  635.101  us/op
ArraysSort.Double.testSort            SHUFFLE  2000000  avgt    4   88466.583 ± 5843.522  us/op
ArraysSort.Float.testParallelSort      RANDOM      800  avgt    4      17.238 ±    0.375  us/op
ArraysSort.Float.testParallelSort      RANDOM     7000  avgt    4     528.125 ±    7.923  us/op
ArraysSort.Float.testParallelSort      RANDOM    50000  avgt    4    1949.605 ±   43.036  us/op
ArraysSort.Float.testParallelSort      RANDOM   300000  avgt    4   11476.328 ±  164.510  us/op
ArraysSort.Float.testParallelSort      RANDOM  2000000  avgt    4   80863.447 ± 1962.584  us/op
ArraysSort.Float.testParallelSort    REPEATED      800  avgt    4       5.334 ±    0.056  us/op
ArraysSort.Float.testParallelSort    REPEATED     7000  avgt    4     157.085 ±    0.780  us/op
ArraysSort.Float.testParallelSort    REPEATED    50000  avgt    4    1053.091 ±  138.557  us/op
ArraysSort.Float.testParallelSort    REPEATED   300000  avgt    4    6409.711 ±   20.080  us/op
ArraysSort.Float.testParallelSort    REPEATED  2000000  avgt    4   41239.945 ±  412.567  us/op
ArraysSort.Float.testParallelSort     STAGGER      800  avgt    4       5.715 ±    0.094  us/op
ArraysSort.Float.testParallelSort     STAGGER     7000  avgt    4      48.773 ±    0.844  us/op
ArraysSort.Float.testParallelSort     STAGGER    50000  avgt    4     310.586 ±    3.440  us/op
ArraysSort.Float.testParallelSort     STAGGER   300000  avgt    4    1552.642 ±    9.308  us/op
ArraysSort.Float.testParallelSort     STAGGER  2000000  avgt    4   10700.302 ±  136.241  us/op
ArraysSort.Float.testParallelSort     SHUFFLE      800  avgt    4      12.513 ±    0.180  us/op
ArraysSort.Float.testParallelSort     SHUFFLE     7000  avgt    4     246.050 ±   29.848  us/op
ArraysSort.Float.testParallelSort     SHUFFLE    50000  avgt    4     853.715 ±   19.459  us/op
ArraysSort.Float.testParallelSort     SHUFFLE   300000  avgt    4    4830.787 ±  104.956  us/op
ArraysSort.Float.testParallelSort     SHUFFLE  2000000  avgt    4   36486.446 ±  993.769  us/op
ArraysSort.Float.testSort              RANDOM      800  avgt    4      17.226 ±    0.142  us/op
ArraysSort.Float.testSort              RANDOM     7000  avgt    4     601.563 ±    4.472  us/op
ArraysSort.Float.testSort              RANDOM    50000  avgt    4    5070.841 ±   43.185  us/op
ArraysSort.Float.testSort              RANDOM   300000  avgt    4   34129.752 ±  205.363  us/op
ArraysSort.Float.testSort              RANDOM  2000000  avgt    4  260102.781 ±  201.922  us/op
ArraysSort.Float.testSort            REPEATED      800  avgt    4       5.112 ±    0.145  us/op
ArraysSort.Float.testSort            REPEATED     7000  avgt    4     161.219 ±    0.200  us/op
ArraysSort.Float.testSort            REPEATED    50000  avgt    4    1063.928 ±  135.796  us/op
ArraysSort.Float.testSort            REPEATED   300000  avgt    4    6617.479 ±   36.456  us/op
ArraysSort.Float.testSort            REPEATED  2000000  avgt    4   41635.234 ±   56.310  us/op
ArraysSort.Float.testSort             STAGGER      800  avgt    4       5.696 ±    0.040  us/op
ArraysSort.Float.testSort             STAGGER     7000  avgt    4      50.349 ±    0.675  us/op
ArraysSort.Float.testSort             STAGGER    50000  avgt    4     339.639 ±    1.168  us/op
ArraysSort.Float.testSort             STAGGER   300000  avgt    4    2175.838 ±   15.344  us/op
ArraysSort.Float.testSort             STAGGER  2000000  avgt    4   14187.737 ±   44.392  us/op
ArraysSort.Float.testSort             SHUFFLE      800  avgt    4      12.500 ±    0.147  us/op
ArraysSort.Float.testSort             SHUFFLE     7000  avgt    4     255.973 ±    1.530  us/op
ArraysSort.Float.testSort             SHUFFLE    50000  avgt    4    2058.882 ±   20.946  us/op
ArraysSort.Float.testSort             SHUFFLE   300000  avgt    4   12849.443 ±  797.043  us/op
ArraysSort.Float.testSort             SHUFFLE  2000000  avgt    4   86190.395 ± 1438.965  us/op
ArraysSort.Int.testParallelSort        RANDOM      800  avgt    4      15.255 ±    0.171  us/op
ArraysSort.Int.testParallelSort        RANDOM     7000  avgt    4     492.621 ±   20.491  us/op
ArraysSort.Int.testParallelSort        RANDOM    50000  avgt    4    1704.918 ±   20.883  us/op
ArraysSort.Int.testParallelSort        RANDOM   300000  avgt    4   10230.213 ±  348.233  us/op
ArraysSort.Int.testParallelSort        RANDOM  2000000  avgt    4   74945.156 ± 3059.401  us/op
ArraysSort.Int.testParallelSort      REPEATED      800  avgt    4       3.734 ±    0.070  us/op
ArraysSort.Int.testParallelSort      REPEATED     7000  avgt    4      95.575 ±    0.969  us/op
ArraysSort.Int.testParallelSort      REPEATED    50000  avgt    4     723.709 ±    3.039  us/op
ArraysSort.Int.testParallelSort      REPEATED   300000  avgt    4    4455.572 ±    9.524  us/op
ArraysSort.Int.testParallelSort      REPEATED  2000000  avgt    4   25475.521 ±  124.235  us/op
ArraysSort.Int.testParallelSort       STAGGER      800  avgt    4       4.390 ±    0.038  us/op
ArraysSort.Int.testParallelSort       STAGGER     7000  avgt    4      42.761 ±    2.296  us/op
ArraysSort.Int.testParallelSort       STAGGER    50000  avgt    4     263.094 ±    2.960  us/op
ArraysSort.Int.testParallelSort       STAGGER   300000  avgt    4    1154.063 ±   11.257  us/op
ArraysSort.Int.testParallelSort       STAGGER  2000000  avgt    4    7389.503 ±  113.908  us/op
ArraysSort.Int.testParallelSort       SHUFFLE      800  avgt    4      11.655 ±    1.354  us/op
ArraysSort.Int.testParallelSort       SHUFFLE     7000  avgt    4     224.677 ±   11.804  us/op
ArraysSort.Int.testParallelSort       SHUFFLE    50000  avgt    4     746.457 ±   40.228  us/op
ArraysSort.Int.testParallelSort       SHUFFLE   300000  avgt    4    4118.965 ±  298.810  us/op
ArraysSort.Int.testParallelSort       SHUFFLE  2000000  avgt    4   30320.364 ± 1842.372  us/op
ArraysSort.Int.testSort                RANDOM      800  avgt    4      15.173 ±    0.175  us/op
ArraysSort.Int.testSort                RANDOM     7000  avgt    4     546.488 ±    4.336  us/op
ArraysSort.Int.testSort                RANDOM    50000  avgt    4    4752.334 ±   20.346  us/op
ArraysSort.Int.testSort                RANDOM   300000  avgt    4   32817.237 ±  156.894  us/op
ArraysSort.Int.testSort                RANDOM  2000000  avgt    4  256307.419 ±  561.705  us/op
ArraysSort.Int.testSort              REPEATED      800  avgt    4       3.916 ±    0.051  us/op
ArraysSort.Int.testSort              REPEATED     7000  avgt    4     100.379 ±    1.007  us/op
ArraysSort.Int.testSort              REPEATED    50000  avgt    4     717.875 ±    7.827  us/op
ArraysSort.Int.testSort              REPEATED   300000  avgt    4    4431.014 ±   23.900  us/op
ArraysSort.Int.testSort              REPEATED  2000000  avgt    4   25432.670 ±  243.560  us/op
ArraysSort.Int.testSort               STAGGER      800  avgt    4       4.540 ±    0.078  us/op
ArraysSort.Int.testSort               STAGGER     7000  avgt    4      37.915 ±    0.306  us/op
ArraysSort.Int.testSort               STAGGER    50000  avgt    4     276.792 ±    1.271  us/op
ArraysSort.Int.testSort               STAGGER   300000  avgt    4    1664.124 ±    9.098  us/op
ArraysSort.Int.testSort               STAGGER  2000000  avgt    4   11277.112 ±   81.253  us/op
ArraysSort.Int.testSort               SHUFFLE      800  avgt    4      11.108 ±    0.142  us/op
ArraysSort.Int.testSort               SHUFFLE     7000  avgt    4     249.843 ±    0.693  us/op
ArraysSort.Int.testSort               SHUFFLE    50000  avgt    4    1846.092 ±   11.541  us/op
ArraysSort.Int.testSort               SHUFFLE   300000  avgt    4   12950.518 ±  797.271  us/op
ArraysSort.Int.testSort               SHUFFLE  2000000  avgt    4   80924.012 ± 1441.852  us/op
ArraysSort.Long.testParallelSort       RANDOM      800  avgt    4      15.885 ±    0.406  us/op
ArraysSort.Long.testParallelSort       RANDOM     7000  avgt    4     486.717 ±   27.371  us/op
ArraysSort.Long.testParallelSort       RANDOM    50000  avgt    4    1736.134 ±   25.337  us/op
ArraysSort.Long.testParallelSort       RANDOM   300000  avgt    4   10535.930 ±  178.901  us/op
ArraysSort.Long.testParallelSort       RANDOM  2000000  avgt    4   76580.505 ± 3174.875  us/op
ArraysSort.Long.testParallelSort     REPEATED      800  avgt    4       3.661 ±    0.098  us/op
ArraysSort.Long.testParallelSort     REPEATED     7000  avgt    4      98.011 ±    3.278  us/op
ArraysSort.Long.testParallelSort     REPEATED    50000  avgt    4     728.241 ±    4.330  us/op
ArraysSort.Long.testParallelSort     REPEATED   300000  avgt    4    4367.293 ±   10.865  us/op
ArraysSort.Long.testParallelSort     REPEATED  2000000  avgt    4   26099.827 ±  113.673  us/op
ArraysSort.Long.testParallelSort      STAGGER      800  avgt    4       4.681 ±    0.606  us/op
ArraysSort.Long.testParallelSort      STAGGER     7000  avgt    4      43.283 ±    0.759  us/op
ArraysSort.Long.testParallelSort      STAGGER    50000  avgt    4     269.093 ±    5.556  us/op
ArraysSort.Long.testParallelSort      STAGGER   300000  avgt    4    1300.299 ±   70.646  us/op
ArraysSort.Long.testParallelSort      STAGGER  2000000  avgt    4    9554.788 ±  128.813  us/op
ArraysSort.Long.testParallelSort      SHUFFLE      800  avgt    4      11.734 ±    2.912  us/op
ArraysSort.Long.testParallelSort      SHUFFLE     7000  avgt    4     226.104 ±   20.146  us/op
ArraysSort.Long.testParallelSort      SHUFFLE    50000  avgt    4     761.924 ±   64.443  us/op
ArraysSort.Long.testParallelSort      SHUFFLE   300000  avgt    4    4167.953 ±   85.485  us/op
ArraysSort.Long.testParallelSort      SHUFFLE  2000000  avgt    4   31457.895 ±  953.908  us/op
ArraysSort.Long.testSort               RANDOM      800  avgt    4      15.775 ±    0.239  us/op
ArraysSort.Long.testSort               RANDOM     7000  avgt    4     545.227 ±    4.033  us/op
ArraysSort.Long.testSort               RANDOM    50000  avgt    4    4814.346 ±   24.139  us/op
ArraysSort.Long.testSort               RANDOM   300000  avgt    4   32666.292 ±  455.288  us/op
ArraysSort.Long.testSort               RANDOM  2000000  avgt    4  255556.781 ± 3480.419  us/op
ArraysSort.Long.testSort             REPEATED      800  avgt    4       3.736 ±    0.050  us/op
ArraysSort.Long.testSort             REPEATED     7000  avgt    4     102.708 ±    1.558  us/op
ArraysSort.Long.testSort             REPEATED    50000  avgt    4     733.085 ±    6.925  us/op
ArraysSort.Long.testSort             REPEATED   300000  avgt    4    4245.912 ±    5.737  us/op
ArraysSort.Long.testSort             REPEATED  2000000  avgt    4   26423.109 ±   88.665  us/op
ArraysSort.Long.testSort              STAGGER      800  avgt    4       5.014 ±    0.041  us/op
ArraysSort.Long.testSort              STAGGER     7000  avgt    4      40.578 ±    0.477  us/op
ArraysSort.Long.testSort              STAGGER    50000  avgt    4     284.593 ±    2.488  us/op
ArraysSort.Long.testSort              STAGGER   300000  avgt    4    1796.837 ±    7.481  us/op
ArraysSort.Long.testSort              STAGGER  2000000  avgt    4   12713.823 ±  104.787  us/op
ArraysSort.Long.testSort              SHUFFLE      800  avgt    4      11.200 ±    0.200  us/op
ArraysSort.Long.testSort              SHUFFLE     7000  avgt    4     233.435 ±    0.300  us/op
ArraysSort.Long.testSort              SHUFFLE    50000  avgt    4    1886.785 ±   22.401  us/op
ArraysSort.Long.testSort              SHUFFLE   300000  avgt    4   11918.217 ±  447.293  us/op
ArraysSort.Long.testSort              SHUFFLE  2000000  avgt    4   80243.420 ± 4672.132  us/op
ArraysSort.Short.testParallelSort      RANDOM      800  avgt    4      15.382 ±    0.396  us/op
ArraysSort.Short.testParallelSort      RANDOM     7000  avgt    4     185.062 ±    0.585  us/op
ArraysSort.Short.testParallelSort      RANDOM    50000  avgt    4     851.523 ±   43.715  us/op
ArraysSort.Short.testParallelSort      RANDOM   300000  avgt    4    1957.216 ±  355.572  us/op
ArraysSort.Short.testParallelSort      RANDOM  2000000  avgt    4    5320.495 ±  669.834  us/op
ArraysSort.Short.testParallelSort    REPEATED      800  avgt    4       3.355 ±    0.203  us/op
ArraysSort.Short.testParallelSort    REPEATED     7000  avgt    4      57.713 ±    0.711  us/op
ArraysSort.Short.testParallelSort    REPEATED    50000  avgt    4     107.354 ±    5.511  us/op
ArraysSort.Short.testParallelSort    REPEATED   300000  avgt    4     535.742 ±  314.420  us/op
ArraysSort.Short.testParallelSort    REPEATED  2000000  avgt    4    2600.206 ±  298.711  us/op
ArraysSort.Short.testParallelSort     STAGGER      800  avgt    4      13.272 ±    0.233  us/op
ArraysSort.Short.testParallelSort     STAGGER     7000  avgt    4      61.726 ±   11.376  us/op
ArraysSort.Short.testParallelSort     STAGGER    50000  avgt    4     196.190 ±    2.129  us/op
ArraysSort.Short.testParallelSort     STAGGER   300000  avgt    4     685.826 ±   61.071  us/op
ArraysSort.Short.testParallelSort     STAGGER  2000000  avgt    4    2709.150 ±   59.964  us/op
ArraysSort.Short.testParallelSort     SHUFFLE      800  avgt    4       9.661 ±    0.123  us/op
ArraysSort.Short.testParallelSort     SHUFFLE     7000  avgt    4      59.242 ±    1.875  us/op
ArraysSort.Short.testParallelSort     SHUFFLE    50000  avgt    4     246.217 ±    7.360  us/op
ArraysSort.Short.testParallelSort     SHUFFLE   300000  avgt    4     731.610 ±  343.809  us/op
ArraysSort.Short.testParallelSort     SHUFFLE  2000000  avgt    4    2516.240 ±  255.702  us/op
ArraysSort.Short.testSort              RANDOM      800  avgt    4      15.377 ±    0.269  us/op
ArraysSort.Short.testSort              RANDOM     7000  avgt    4     187.139 ±    1.235  us/op
ArraysSort.Short.testSort              RANDOM    50000  avgt    4     851.905 ±   45.528  us/op
ArraysSort.Short.testSort              RANDOM   300000  avgt    4    1878.764 ±  349.838  us/op
ArraysSort.Short.testSort              RANDOM  2000000  avgt    4    5338.944 ±  659.404  us/op
ArraysSort.Short.testSort            REPEATED      800  avgt    4       4.219 ±    0.035  us/op
ArraysSort.Short.testSort            REPEATED     7000  avgt    4      58.072 ±    1.026  us/op
ArraysSort.Short.testSort            REPEATED    50000  avgt    4     107.420 ±    2.481  us/op
ArraysSort.Short.testSort            REPEATED   300000  avgt    4     534.634 ±  316.756  us/op
ArraysSort.Short.testSort            REPEATED  2000000  avgt    4    2601.850 ±  293.297  us/op
ArraysSort.Short.testSort             STAGGER      800  avgt    4      13.203 ±    0.189  us/op
ArraysSort.Short.testSort             STAGGER     7000  avgt    4      62.470 ±   14.110  us/op
ArraysSort.Short.testSort             STAGGER    50000  avgt    4     191.487 ±    1.092  us/op
ArraysSort.Short.testSort             STAGGER   300000  avgt    4     684.139 ±   51.172  us/op
ArraysSort.Short.testSort             STAGGER  2000000  avgt    4    2655.990 ±  278.678  us/op
ArraysSort.Short.testSort             SHUFFLE      800  avgt    4       9.622 ±    0.136  us/op
ArraysSort.Short.testSort             SHUFFLE     7000  avgt    4      59.168 ±    2.431  us/op
ArraysSort.Short.testSort             SHUFFLE    50000  avgt    4     248.391 ±   18.547  us/op
ArraysSort.Short.testSort             SHUFFLE   300000  avgt    4     723.570 ±  312.101  us/op
ArraysSort.Short.testSort             SHUFFLE  2000000  avgt    4    2520.773 ±  267.869  us/op

