# Run complete. Total time: 00:10:58

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                                                      (bits)  (padding)          (scenario)  (seed)   (size)   Mode  Cnt     Score    Error  Units
RadixSortBenchmark.dpqs21_04NoAllocSort                            23          7             UNIFORM       0  1000000  thrpt    5    91,676 ±  0,500  ops/s
RadixSortBenchmark.dpqs21_04NoAllocSort                            23          7          CONTIGUOUS       0  1000000  thrpt    5  2724,770 ±  5,066  ops/s
RadixSortBenchmark.dpqs21_04NoAllocSort                            23          7  CONTIGUOUS_REVERSE       0  1000000  thrpt    5   841,544 ±  6,368  ops/s
RadixSortBenchmark.dpqs21_04NoAllocSort                            23          7   ALMOST_CONTIGUOUS       0  1000000  thrpt    5  1109,330 ±  8,133  ops/s
RadixSortBenchmark.dpqs21_04NoAllocSort                            23          7              SORTED       0  1000000  thrpt    5    23,182 ±  0,160  ops/s
RadixSortBenchmark.dpqs21_04NoAllocSort                            23          7       ALMOST_SORTED       0  1000000  thrpt    5    91,281 ±  0,279  ops/s
RadixSortBenchmark.dpqs21_04NoAllocSort                            23          7                 EXP       0  1000000  thrpt    5    88,955 ±  0,086  ops/s

RadixSortBenchmark.dpqs21_04RadixSort                              23          7             UNIFORM       0  1000000  thrpt    5    91,623 ±  0,102  ops/s
RadixSortBenchmark.dpqs21_04RadixSort                              23          7          CONTIGUOUS       0  1000000  thrpt    5    31,824 ±  0,346  ops/s
RadixSortBenchmark.dpqs21_04RadixSort                              23          7  CONTIGUOUS_REVERSE       0  1000000  thrpt    5    32,402 ±  0,381  ops/s
RadixSortBenchmark.dpqs21_04RadixSort                              23          7   ALMOST_CONTIGUOUS       0  1000000  thrpt    5    32,952 ±  0,170  ops/s
RadixSortBenchmark.dpqs21_04RadixSort                              23          7              SORTED       0  1000000  thrpt    5    91,477 ±  0,096  ops/s
RadixSortBenchmark.dpqs21_04RadixSort                              23          7       ALMOST_SORTED       0  1000000  thrpt    5    91,690 ±  0,061  ops/s
RadixSortBenchmark.dpqs21_04RadixSort                              23          7                 EXP       0  1000000  thrpt    5    89,004 ±  0,542  ops/s

RadixSortBenchmark.dpqs21_04RadixSort2                             23          7             UNIFORM       0  1000000  thrpt    5    96,598 ±  0,160  ops/s
RadixSortBenchmark.dpqs21_04RadixSort2                             23          7          CONTIGUOUS       0  1000000  thrpt    5    31,703 ±  0,078  ops/s
RadixSortBenchmark.dpqs21_04RadixSort2                             23          7  CONTIGUOUS_REVERSE       0  1000000  thrpt    5    31,396 ±  0,150  ops/s
RadixSortBenchmark.dpqs21_04RadixSort2                             23          7   ALMOST_CONTIGUOUS       0  1000000  thrpt    5    31,412 ±  0,226  ops/s
RadixSortBenchmark.dpqs21_04RadixSort2                             23          7              SORTED       0  1000000  thrpt    5    97,131 ±  0,485  ops/s
RadixSortBenchmark.dpqs21_04RadixSort2                             23          7       ALMOST_SORTED       0  1000000  thrpt    5    97,231 ±  0,601  ops/s
RadixSortBenchmark.dpqs21_04RadixSort2                             23          7                 EXP       0  1000000  thrpt    5    90,576 ±  0,141  ops/s

RadixSortBenchmark.unrollOnePassSkipLevelsBufferWithDetection      23          7             UNIFORM       0  1000000  thrpt    5   108,925 ±  3,450  ops/s
RadixSortBenchmark.unrollOnePassSkipLevelsBufferWithDetection      23          7          CONTIGUOUS       0  1000000  thrpt    5    32,568 ±  0,457  ops/s
RadixSortBenchmark.unrollOnePassSkipLevelsBufferWithDetection      23          7  CONTIGUOUS_REVERSE       0  1000000  thrpt    5    32,633 ±  0,160  ops/s
RadixSortBenchmark.unrollOnePassSkipLevelsBufferWithDetection      23          7   ALMOST_CONTIGUOUS       0  1000000  thrpt    5    33,037 ±  0,399  ops/s
RadixSortBenchmark.unrollOnePassSkipLevelsBufferWithDetection      23          7              SORTED       0  1000000  thrpt    5   109,652 ±  1,625  ops/s
RadixSortBenchmark.unrollOnePassSkipLevelsBufferWithDetection      23          7       ALMOST_SORTED       0  1000000  thrpt    5   108,141 ±  2,243  ops/s
RadixSortBenchmark.unrollOnePassSkipLevelsBufferWithDetection      23          7                 EXP       0  1000000  thrpt    5    99,600 ±  1,078  ops/s
